feature,priv_mean_abs_shap,unpriv_mean_abs_shap,difference
fnlwgt_103586_,,0.0,
fnlwgt_103588_,,0.0,
fnlwgt_103596_,,0.0,
fnlwgt_103605_,,0.0,
fnlwgt_103608_,,0.0,
fnlwgt_103628_,,0.0,
fnlwgt_103632_,,0.0,
fnlwgt_103634_,,0.0,
fnlwgt_103642_,,0.0,
fnlwgt_103643_,,0.0,
fnlwgt_103649_,,0.0,
fnlwgt_103651_,,0.0,
fnlwgt_103654_,,0.0,
fnlwgt_103684_,,0.0,
fnlwgt_103700_,,0.0,
fnlwgt_103710_,,0.0,
fnlwgt_103713_,,0.0,
fnlwgt_103743_,,0.0,
fnlwgt_103751_,,0.0,
fnlwgt_103757_,,0.0,
fnlwgt_103759_,,0.0,
fnlwgt_103762_,,0.0,
fnlwgt_103789_,,0.0,
fnlwgt_103794_,,0.0,
fnlwgt_103802_,,0.0,
fnlwgt_103809_,,0.0,
fnlwgt_103810_,,0.0,
fnlwgt_103824_,,0.0,
fnlwgt_103840_,,0.0,
fnlwgt_103851_,,0.0,
fnlwgt_1038553_,,0.0,
fnlwgt_103860_,,0.0,
fnlwgt_103886_,,0.0,
fnlwgt_103925_,,0.0,
fnlwgt_103931_,,0.0,
fnlwgt_103932_,,0.0,
fnlwgt_103948_,,0.0,
fnlwgt_103950_,,0.0,
fnlwgt_103966_,,0.0,
fnlwgt_103980_,,0.0005270883250545657,
fnlwgt_103984_,,0.0014923267035859937,
fnlwgt_103986_,,0.0,
fnlwgt_103995_,,0.0,
fnlwgt_104001_,,0.0,
fnlwgt_104003_,,0.0,
fnlwgt_104024_,,0.0,
fnlwgt_104025_,,0.0,
fnlwgt_104045_,,0.0,
fnlwgt_104052_,,0.0,
fnlwgt_104068_,,0.0,
fnlwgt_104089_,,0.0,
fnlwgt_104094_,,0.0,
fnlwgt_104097_,,0.0,
fnlwgt_104112_,,0.0,
fnlwgt_104118_,,0.0,
fnlwgt_104146_,,0.0,
fnlwgt_104164_,,0.0,
fnlwgt_104193_,,0.0,
fnlwgt_104196_,,0.0,
fnlwgt_104216_,,0.0,
fnlwgt_104223_,,0.0,
fnlwgt_104232_,,0.0,
fnlwgt_104235_,,0.0,
fnlwgt_104256_,,0.0,
fnlwgt_104272_,,0.0,
fnlwgt_104280_,,0.0,
fnlwgt_104293_,,0.0,
fnlwgt_104329_,,0.0,
fnlwgt_104333_,,0.0,
fnlwgt_104334_,,7.785749341965486e-05,
fnlwgt_104359_,,0.0,
fnlwgt_104361_,,0.0,
fnlwgt_104413_,,0.0,
fnlwgt_104421_,,0.0,
fnlwgt_104423_,,0.0,
fnlwgt_104438_,,0.0,
fnlwgt_104439_,,0.0,
fnlwgt_104440_,,0.0,
fnlwgt_104443_,,2.0025912684333854e-06,
fnlwgt_104455_,,0.0,
fnlwgt_104457_,,0.0,
fnlwgt_104461_,,0.0,
fnlwgt_104501_,,0.0,
fnlwgt_104509_,,0.0,
fnlwgt_104521_,,0.0,
fnlwgt_104525_,,0.0,
fnlwgt_104542_,,0.0,
fnlwgt_104576_,,0.0,
fnlwgt_104613_,,0.0,
fnlwgt_104614_,,0.0,
fnlwgt_104617_,,0.0,
fnlwgt_104632_,,0.0,
fnlwgt_104647_,,0.0,
fnlwgt_104651_,,0.0,
fnlwgt_104660_,,0.0,
fnlwgt_104661_,,0.0,
fnlwgt_104662_,,0.0,
fnlwgt_104663_,,0.0,
fnlwgt_104704_,,0.0,
fnlwgt_104719_,,0.0,
fnlwgt_104724_,,0.0,
fnlwgt_104729_,,0.0,
fnlwgt_104737_,,0.0,
fnlwgt_104746_,,3.9945748040321374e-05,
fnlwgt_104748_,,0.0,
fnlwgt_104756_,,0.0,
fnlwgt_104772_,,0.0,
fnlwgt_104790_,,0.0,
fnlwgt_104830_,,0.0,
